source_address,lei,entity_name,lei_record_url,error
ADVENTURE Credit Union,254900GP2576VSW7TS47,Adventure Credit Union,https://api.gleif.org/api/v1/lei-records/254900GP2576VSW7TS47,
KINETIC Credit Union,,,,no_match
EVERGREEN Credit Union,54930064FQE21RHEG647,EVERGREEN CREDIT UNION,https://api.gleif.org/api/v1/lei-records/54930064FQE21RHEG647,
INNOVATIONS FINANCIAL Credit Union,,,,no_match
FEDEX EMPLOYEES CREDIT ASSOCIATION Credit Union,,,,no_match
BEEHIVE Credit Union,,,,no_match
PARTNER COLORADO Credit Union,5493009OHBOFDUG78546,PARTNER COLORADO CREDIT UNION,https://api.gleif.org/api/v1/lei-records/5493009OHBOFDUG78546,
EXCITE Credit Union,549300DFCG6GF21KOW34,EXCITE Credit Union,https://api.gleif.org/api/v1/lei-records/549300DFCG6GF21KOW34,
TOWN & COUNTRY Credit Union,984500873U7501D3P512,TOW,https://api.gleif.org/api/v1/lei-records/984500873U7501D3P512,
COAST360 Credit Union,,,,no_match
CENTRAL WILLAMETTE Credit Union,549300CPJH6JMU13EQ37,CENTRAL WILLAMETTE Credit Union,https://api.gleif.org/api/v1/lei-records/549300CPJH6JMU13EQ37,
OMNI COMMUNITY Credit Union,254900W66Q12I4MV8X83,OMNI COMMUNITY CREDIT UNION,https://api.gleif.org/api/v1/lei-records/254900W66Q12I4MV8X83,
HOMELAND Credit Union,549300R1M9F3KHD4D911,"HOMELAND CREDIT UNION, INC.",https://api.gleif.org/api/v1/lei-records/549300R1M9F3KHD4D911,
METRO CU Credit Union,,,,no_match
EMBOLD Credit Union,,,,no_match
FLORIDACENTRAL Credit Union,5493007WNCT2YQ8O4H14,FLORIDACENTRAL CREDIT UNION,https://api.gleif.org/api/v1/lei-records/5493007WNCT2YQ8O4H14,
EMBLEM Credit Union,,,,no_match
EDUCATION FIRST Credit Union,549300ZA8T2KGQF6JK55,"EDUCATION FIRST CREDIT UNION, INC.",https://api.gleif.org/api/v1/lei-records/549300ZA8T2KGQF6JK55,
DUGOOD Credit Union,,,,no_match
SOUTHPOINT FINANCIAL Credit Union,549300VPYRW4D9VH0G53,SOUTHPOINT FINANCIAL CREDIT UNION,https://api.gleif.org/api/v1/lei-records/549300VPYRW4D9VH0G53,
EDUCATORS Credit Union,,,,no_match
ADELFI Credit Union,254900EYV2SH25WHJ870,AdelFi Credit Union,https://api.gleif.org/api/v1/lei-records/254900EYV2SH25WHJ870,
MINNCO Credit Union,549300X83ACLZT2UNN87,MINNCO CREDIT UNION,https://api.gleif.org/api/v1/lei-records/549300X83ACLZT2UNN87,
VIA CREDIT UNION Credit Union,,,,no_match
EMBERS Credit Union,,,,no_match
CO-OP Credit Union,549300HZKPV04SFK9K27,CO-OP Credit Union,https://api.gleif.org/api/v1/lei-records/549300HZKPV04SFK9K27,
ASCENTRA Credit Union,25490016EME0PSK9PL28,Accentra Credit Union,https://api.gleif.org/api/v1/lei-records/25490016EME0PSK9PL28,
SOARION Credit Union,,,,no_match
SOVITA Credit Union,54930038EHCQQEFKUW36,SOVITA Credit Union,https://api.gleif.org/api/v1/lei-records/54930038EHCQQEFKUW36,
I.L.W.U. Credit Union,,,,no_match
TRANSCEND Credit Union,,,,no_match
VALLEY FINANCIAL Credit Union,,,,no_match
CHAMPION Credit Union,,,,no_match
U. T. Credit Union,,,,no_match
THE SOUTHERN Credit Union,,,,no_match
FINANCIAL PLUS Credit Union,,,,no_match
VALLEYSTAR Credit Union,,,,no_match
UKRAINIAN SELFRELIANCE Credit Union,,,,no_match
SIU Credit Union,,,,no_match
FIRELANDS Credit Union,,,,no_match
ARLINGTON COMMUNITY Credit Union,,,,no_match
ARGENT Credit Union,,,,no_match
COMMONWEALTH ONE Credit Union,,,,no_match
"OUCU FINANCIAL CREDIT UNION, INC.  Credit Union",,,,no_match
SECURITY FIRST Credit Union,,,,no_match
SUNWEST Credit Union,,,,no_match
PEAKE Credit Union,,,,no_match
DESCO Credit Union,,,,no_match
CHAMPIONS FIRST Credit Union,,,,no_match
SECNY Credit Union,,,,no_match
ACFCU Credit Union,,,,no_match
FOREST AREA Credit Union,,,,no_match
OLD WEST Credit Union,,,,no_match
PENINSULA COMMUNITY Credit Union,,,,no_match
UNITED Credit Union,,,,no_match
ACCESS Credit Union,,,,no_match
BOWATER EMPLOYEES Credit Union,,,,no_match
VAPR Credit Union,,,,no_match
BENCHMARK Credit Union,,,,no_match
TEXOMA COMMUNITY Credit Union,,,,no_match
LOYALTY Credit Union,,,,no_match
CPORT Credit Union,,,,no_match
HARVESTERS Credit Union,,,,no_match
VALLEY COMMUNITIES Credit Union,,,,no_match
GULF COAST Credit Union,,,,no_match
ENERGY ONE Credit Union,,,,no_match
LOOKOUT Credit Union,,,,no_match
NORTH SHORE Credit Union,,,,no_match
HOMEBASE Credit Union,,,,no_match
OTIS Credit Union,,,,no_match
KALSEE Credit Union,,,,no_match
ALLEGENT COMMUNITY Credit Union,,,,no_match
U S POSTAL SERVICE Credit Union,,,,no_match
HOME TOWN Credit Union,,,,no_match
O.A.S. STAFF Credit Union,,,,no_match
BANGOR Credit Union,,,,no_match
UNITY ONE Credit Union,,,,no_match
MTC Credit Union,,,,no_match
HERITAGE COMMUNITY Credit Union,,,,no_match
GREATER COMMUNITY Credit Union,,,,no_match
OKLAHOMA EDUCATORS Credit Union,,,,no_match
NEW HORIZONS Credit Union,,,,no_match
NORSTATE Credit Union,,,,no_match
COTTONWOOD COMMUNITY Credit Union,,,,no_match
DEPARTMENT OF THE INTERIOR Credit Union,,,,no_match
LONG BEACH CITY EMPLOYEES Credit Union,,,,no_match
MEMBERS FIRST CREDIT UNION OF N.H. Credit Union,,,,no_match
LEWIS CLARK Credit Union,,,,no_match
LORMET COMMUNITY Credit Union,,,,no_match
ADVANTAGE PLUS Credit Union,,,,no_match
1ST COMMUNITY Credit Union,,,,no_match
JETSTREAM Credit Union,,,,no_match
GLACIER HILLS Credit Union,,,,no_match
VOYAGE Credit Union,,,,no_match
FIRST FLIGHT Credit Union,,,,no_match
MIDCOAST Credit Union,,,,no_match
WESTERN VISTA Credit Union,,,,no_match
TREMONT Credit Union,,,,no_match
GREAT NORTHWEST Credit Union,,,,no_match
ST. FRANCIS X Credit Union,,,,no_match
AUBURN UNIVERSITY Credit Union,,,,no_match
ST. PAUL Credit Union,,,,no_match
PUGET SOUND COOPERATIVE Credit Union,,,,no_match
SOUTHWEST HERITAGE Credit Union,,,,no_match
HIGHMARK Credit Union,,,,no_match
NORTH CENTRAL AREA Credit Union,,,,no_match
ZIA Credit Union,,,,no_match
BORDER Credit Union,,,,no_match
NORTHWESTERN MUTUAL Credit Union,,,,no_match
USX Credit Union,,,,no_match
EDIFI Credit Union,,,,no_match
ILLIANA FINANCIAL Credit Union,,,,no_match
SAINT LAWRENCE Credit Union,,,,no_match
SPC Credit Union,,,,no_match
KEYS Credit Union,,,,no_match
SOMERSET Credit Union,,,,no_match
TONGASS Credit Union,,,,no_match
FILER Credit Union,,,,no_match
TRUCHOICE Credit Union,,,,no_match
GERBER Credit Union,,,,no_match
KNOXVILLE TEACHERS Credit Union,,,,no_match
NORTH JERSEY Credit Union,,,,no_match
FINGER LAKES Credit Union,,,,no_match
PYRAMID Credit Union,,,,no_match
MIDWEST COMMUNITY Credit Union,,,,no_match
COMMUNITY WEST Credit Union,,,,no_match
SOUTHERN SECURITY Credit Union,,,,no_match
NW PRIORITY Credit Union,,,,no_match
BRIDGE Credit Union,,,,no_match
CHIEF FINANCIAL Credit Union,,,,no_match
MOOG EMPLOYEES Credit Union,,,,no_match
PRIMETRUST FINANCIAL Credit Union,,,,no_match
THE ATLANTIC Credit Union,,,,no_match
MC Credit Union,,,,no_match
CITIZENS COMMUNITY Credit Union,,,,no_match
MUTUAL SAVINGS Credit Union,,,,no_match
MYGEORGIA Credit Union,,,,no_match
GEOVISTA Credit Union,,,,no_match
F3 Credit Union,,,,no_match
SRI Credit Union,,,,no_match
PANTEX Credit Union,,,,no_match
CACL Credit Union,,,,no_match
TRUE NORTH Credit Union,,,,no_match
SEABOARD Credit Union,,,,no_match
BULL DOG Credit Union,,,,no_match
SABINE Credit Union,,,,no_match
STERLING Credit Union,,,,no_match
COMMUNITY FIRST GUAM Credit Union,,,,no_match
COMMUNITY SOUTH Credit Union,,,,no_match
SHREWSBURY Credit Union,,,,no_match
C E S Credit Union,,,,no_match
SKYPOINT Credit Union,,,,no_match
CHAFFEY Credit Union,,,,no_match
CANOPY Credit Union,,,,no_match
NEW DIMENSIONS Credit Union,,,,no_match
CEDAR FALLS COMMUNITY Credit Union,,,,no_match
ILLINOIS STATE Credit Union,,,,no_match
HAWAII LAW ENFORCEMENT Credit Union,,,,no_match
CAPITOL Credit Union,,,,no_match
CAL-COM Credit Union,,,,no_match
FIRST SERVICE Credit Union,,,,no_match
URW COMMUNITY Credit Union,,,,no_match
WICHITA Credit Union,,,,no_match
EXPEDITION Credit Union,,,,no_match
NORTHERN SKIES Credit Union,,,,no_match
MAINE HIGHLANDS Credit Union,,,,no_match
LOUVIERS Credit Union,,,,no_match
CATHOLIC & COMMUNITY Credit Union,,,,no_match
CORAZO Credit Union,,,,no_match
