entity
AZURA 
PFCU 
PELICAN 
TRUE SKY 
SACRAMENTO 
AIR ACADEMY 
NATIONAL INSTITUTES OF HEALTH 
INTOUCH 
MID MINNESOTA 
SMART FINANCIAL 
1ST NORTHERN CALIFORNIA 
DIRECT 
FOOTHILL 
TEXELL 
HAWAII COMMUNITY 
DEPARTMENT OF COMMERCE 
SERVICE 1ST 
FAMILY TRUST 
LA CAPITOL 
DOVER-PHILA 
POLISH NATIONAL 
MAINE STATE 
CARIBE 
THE FIRST FINANCIAL 
FREEDOM 
SEA COMM 
GENERATIONS COMMUNITY 
CARTER 
UNIVERSITY OF ILLINOIS COMMUNITY 
TOWN AND COUNTRY 
FRONTIER 
PROFED 
GRANITE STATE 
ARIZONA CENTRAL 
RELIANT COMMUNITY 
PRIMEWAY 
WE FLORIDA FINANCIAL 
NUTMEG STATE FINANCIAL 
DAKOTALAND 
MERIDIAN TRUST 
USC 
RADIFI 
UMASSFIVE COLLEGE 
NORTHLAND AREA 
ARMCO 
SUPERIOR CHOICE 
SPERO FINANCIAL 
LOKAHI 
CONSOLIDATED 
APL 
CPM 
FIRST CHOICE AMERICA COMMUNITY 
HEARTLAND 
FORT BRAGG 
RESOURCE ONE 
RIO GRANDE 
CORNERSTONE FINANCIAL 
ABILENE TEACHERS 
O BEE 
FREEDOM NORTHWEST 
R.I.A. 
WASATCH PEAKS 
JOHNS HOPKINS 
FIRST PEOPLES COMMUNITY 
SECURITY 
ADVENTURE 
KINETIC 
EVERGREEN 
INNOVATIONS FINANCIAL 
FEDEX EMPLOYEES CREDIT ASSOCIATION 
BEEHIVE 
PARTNER COLORADO 
EXCITE 
TOWN & COUNTRY 
COAST360 
CENTRAL WILLAMETTE 
OMNI COMMUNITY 
HOMELAND 
METRO CU 
EMBOLD 
FLORIDACENTRAL 
EMBLEM 
EDUCATION FIRST 
DUGOOD 
SOUTHPOINT FINANCIAL 
EDUCATORS 
ADELFI 
MINNCO 
VIA CREDIT UNION 
EMBERS 
CO-OP 
ASCENTRA 
SOARION 
SOVITA 
I.L.W.U. 
TRANSCEND 
VALLEY FINANCIAL 
CHAMPION 
U. T. 
THE SOUTHERN 
FINANCIAL PLUS 
VALLEYSTAR 
UKRAINIAN SELFRELIANCE 
SIU 
FIRELANDS 
ARLINGTON COMMUNITY 
ARGENT 
COMMONWEALTH ONE 
"OUCU FINANCIAL CREDIT UNION, INC.  "
SECURITY FIRST 
SUNWEST 
PEAKE 
DESCO 
CHAMPIONS FIRST 
SECNY 
ACFCU 
FOREST AREA 
OLD WEST 
PENINSULA COMMUNITY 
UNITED 
ACCESS 
BOWATER EMPLOYEES 
VAPR 
BENCHMARK 
TEXOMA COMMUNITY 
LOYALTY 
CPORT 
HARVESTERS 
VALLEY COMMUNITIES 
GULF COAST 
ENERGY ONE 
LOOKOUT 
NORTH SHORE 
HOMEBASE 
OTIS 
KALSEE 
ALLEGENT COMMUNITY 
U S POSTAL SERVICE 
HOME TOWN 
O.A.S. STAFF 
BANGOR 
UNITY ONE 
MTC 
HERITAGE COMMUNITY 
GREATER COMMUNITY 
OKLAHOMA EDUCATORS 
NEW HORIZONS 
